"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"HALO Branded Solutions","TPG INC","Bob","Southard","2550 Corp Exchange Dr # 203","Columbus","OH","43231","","Verified","3","","519917","54189008","Branch of Public Company","040.102917","-082.948033"
"Hudson Market","","Adam","Milhem","1080 E Hudson St","Columbus","OH","43211","","Verified","1","","874213","54161303","Private","040.014593","-082.981073"
"Kaneshi Market","","","","4257 Eastland Square Dr","Columbus","OH","43232","","Verified","3","","541105","44511003","Private","039.912500","-082.882506"
"Kendra Scott","KENDRA SCOTT LLC","Whitney","Shetler","4165 The Strand # 224","Columbus","OH","43219","","Verified","1","","594409","45831011","Private","040.053771","-082.915542"
"Layers Deep Is Your Chaos","","Tasia","Russell","PO Box 82284","Columbus","OH","43202","","Verified","4","","738936","54141004","Private","040.020420","-083.014370"
"Little's Village IGA","","Ruth","Little","704 Parsons Ave","Columbus","OH","43206","LITTLE'S VILLAGE IGA","Verified","2","","541105","44511003","Private","039.949440","-082.982500"
"Mecca Market","","","","2256 S Hamilton Rd","Columbus","OH","43232","","Verified","1","","541105","44511003","Private","039.928514","-082.878695"
"Rossco Market","","","","2500 Sullivant Ave","Columbus","OH","43204","ROSCOS MARKET","Verified","5","","541105","44511003","Private","039.945224","-083.065559"
"Scotts Custom Jewelers","","Scott","Cevasco","6365 Perimeter Dr","Dublin","OH","43016","","Verified","2","","594409","45831011","Private","040.104714","-083.162628"
"Sterling Distribution","","Dave","Gruenberg","1845 Progress Ave","Columbus","OH","43207","","Verified","1","Sterling Paper Is An Independently Owned Wholesale Distributor Of Printing Papers, Office Products, And Industrial And Packaging Supplies. It Is A Member Of Various Groups, Such As The Association Of Independent Printing Paper Merchants, Which Enables The Company To Operate On A National Level. Sterling Paper S Paper Products Include Text And Cover, Coated, Uncoated Offset, Digital Imaging, Opaque, Pressure Sensitive, Specialty And Index/Bristol/Boards. Its Office Products Include Binders, Calendars, Planners, Briefcases, Cash- And Check-Handling Equipment, Computer Hardware, Files And Filing Supplies, Furniture And Room Accessories, Janitorial Supplies, Labeling Devices, Mailroom Materials, Pens, Desk Supplies And Presentation Supplies. The Company S Industrial And Packaging Products Include Poly Bags, Stretch And Shrink Films, Sheeting, Bubble And Foam Wrap, Towels And Tissue, Tapes And Tape Dispensers, Plastic, And Steel Strapping And Packaging Equipment. Sterling Paper Maintains Offices IN Columbus, Ohio.","267101","32222001","Private","039.927491","-082.948598"
"United Food Mart","","","","2805 S High St","Columbus","OH","43207","UNITED FOOD DISCOUNT LLC","Verified","1","","541105","44511003","Private","039.904112","-082.995883"
"USA Grocery","","Murad","Jallaq","2500 Sullivant Ave","Columbus","OH","43204","USA GROCERY INC","Verified","5","","541105","44511003","Private","039.945224","-083.065559"
