id,latitude,longitude,polygon,income
23,4857318.336172238,-9235677.613871526,"POLYGON ((-9235667.613871524 4857328.336172238, -9235687.613871524 4857328.336172238, -9235687.613871524 4857308.336172238, -9235667.613871524 4857308.336172238, -9235667.613871524 4857328.336172238))",100k to 125k
24,4856559.695029855,-9235872.92322291,"POLYGON ((-9235862.92322291 4856569.695029855, -9235882.92322291 4856569.695029855, -9235882.92322291 4856549.695029855, -9235862.92322291 4856549.695029855, -9235862.92322291 4856569.695029855))",20k to 25k
25,4857053.622028037,-9235619.71221323,"POLYGON ((-9235609.71221323 4857063.622028037, -9235629.71221323 4857063.622028037, -9235629.71221323 4857043.622028037, -9235609.71221323 4857043.622028037, -9235609.71221323 4857063.622028037))",75k to 100k
26,4856621.096050124,-9236052.81344818,"POLYGON ((-9236042.81344818 4856631.096050124, -9236062.81344818 4856631.096050124, -9236062.81344818 4856611.096050124, -9236042.81344818 4856611.096050124, -9236042.81344818 4856631.096050124))",25k to 30k
27,4857455.678116805,-9236538.473252226,"POLYGON ((-9236528.473252224 4857465.678116805, -9236548.473252224 4857465.678116805, -9236548.473252224 4857445.678116805, -9236528.473252224 4857445.678116805, -9236528.473252224 4857465.678116805))",60k to 75k
28,4856592.092721977,-9236523.275825545,"POLYGON ((-9236513.275825545 4856602.092721977, -9236533.275825545 4856602.092721977, -9236533.275825545 4856582.092721977, -9236513.275825545 4856582.092721977, -9236513.275825545 4856602.092721977))",10k to 15k
29,4856710.0754259005,-9235778.238011444,"POLYGON ((-9235768.238011444 4856720.0754259005, -9235788.238011444 4856720.0754259005, -9235788.238011444 4856700.0754259005, -9235768.238011444 4856700.0754259005, -9235768.238011444 4856720.0754259005))",10k to 15k
30,4856507.643338382,-9236166.945676975,"POLYGON ((-9236156.945676975 4856517.643338382, -9236176.945676975 4856517.643338382, -9236176.945676975 4856497.643338382, -9236156.945676975 4856497.643338382, -9236156.945676975 4856517.643338382))",35k to 40k
31,4857064.748230383,-9235819.389794583,"POLYGON ((-9235809.389794583 4857074.748230383, -9235829.389794583 4857074.748230383, -9235829.389794583 4857054.748230383, -9235809.389794583 4857054.748230383, -9235809.389794583 4857074.748230383))",50k to 60k
32,4857158.921604823,-9235713.798307054,"POLYGON ((-9235703.798307054 4857168.921604823, -9235723.798307054 4857168.921604823, -9235723.798307054 4857148.921604823, -9235703.798307054 4857148.921604823, -9235703.798307054 4857168.921604823))",60k to 75k
33,4856546.781886547,-9236349.831058735,"POLYGON ((-9236339.831058735 4856556.781886547, -9236359.831058735 4856556.781886547, -9236359.831058735 4856536.781886547, -9236339.831058735 4856536.781886547, -9236339.831058735 4856556.781886547))",10k to 15k
34,4857476.623416316,-9235843.872758208,"POLYGON ((-9235833.872758208 4857486.623416316, -9235853.872758208 4857486.623416316, -9235853.872758208 4857466.623416316, -9235833.872758208 4857466.623416316, -9235833.872758208 4857486.623416316))",30k to 35k
35,4857621.7448697705,-9235764.850124517,"POLYGON ((-9235754.850124517 4857631.74486977, -9235774.850124517 4857631.74486977, -9235774.850124517 4857611.74486977, -9235754.850124517 4857611.74486977, -9235754.850124517 4857631.74486977))",20k to 25k
36,4857304.555707303,-9236337.48255717,"POLYGON ((-9236327.48255717 4857314.555707303, -9236347.48255717 4857314.555707303, -9236347.48255717 4857294.555707303, -9236327.48255717 4857294.555707303, -9236327.48255717 4857314.555707303))",30k to 35k
37,4856881.835349917,-9236161.380203748,"POLYGON ((-9236151.38020375 4856891.835349917, -9236171.38020375 4856891.835349917, -9236171.38020375 4856871.835349917, -9236151.38020375 4856871.835349917, -9236151.38020375 4856891.835349917))",under 10k
38,4857227.575466444,-9236435.67204972,"POLYGON ((-9236425.67204972 4857237.575466444, -9236445.67204972 4857237.575466444, -9236445.67204972 4857217.575466444, -9236425.67204972 4857217.575466444, -9236425.67204972 4857237.575466444))",30k to 35k
39,4857614.668063842,-9236542.59000534,"POLYGON ((-9236532.59000534 4857624.668063842, -9236552.59000534 4857624.668063842, -9236552.59000534 4857604.668063842, -9236532.59000534 4857604.668063842, -9236532.59000534 4857624.668063842))",20k to 25k
40,4856741.356551493,-9236087.092087235,"POLYGON ((-9236077.092087235 4856751.3565514935, -9236097.092087235 4856751.3565514935, -9236097.092087235 4856731.3565514935, -9236077.092087235 4856731.3565514935, -9236077.092087235 4856751.3565514935))",100k to 125k
41,4857025.076595357,-9236509.491307562,"POLYGON ((-9236499.491307562 4857035.076595357, -9236519.491307562 4857035.076595357, -9236519.491307562 4857015.076595357, -9236499.491307562 4857015.076595357, -9236499.491307562 4857035.076595357))",35k to 40k
42,4857601.481584968,-9236141.72175939,"POLYGON ((-9236131.721759388 4857611.481584967, -9236151.721759388 4857611.481584967, -9236151.721759388 4857591.481584967, -9236131.721759388 4857591.481584967, -9236131.721759388 4857611.481584967))",25k to 30k
43,4856618.372162489,-9235743.109551273,"POLYGON ((-9235733.109551273 4856628.372162489, -9235753.109551273 4856628.372162489, -9235753.109551273 4856608.372162489, -9235733.109551273 4856608.372162489, -9235733.109551273 4856628.372162489))",45k to 50k
44,4857699.734273807,-9235662.149647292,"POLYGON ((-9235652.149647292 4857709.734273807, -9235672.149647292 4857709.734273807, -9235672.149647292 4857689.734273807, -9235652.149647292 4857689.734273807, -9235652.149647292 4857709.734273807))",75k to 100k
45,4857616.535909597,-9235558.947777804,"POLYGON ((-9235548.947777804 4857626.535909597, -9235568.947777804 4857626.535909597, -9235568.947777804 4857606.535909597, -9235548.947777804 4857606.535909597, -9235548.947777804 4857626.535909597))",75k to 100k
46,4857314.302367009,-9236028.27312755,"POLYGON ((-9236018.27312755 4857324.302367009, -9236038.27312755 4857324.302367009, -9236038.27312755 4857304.302367009, -9236018.27312755 4857304.302367009, -9236018.27312755 4857324.302367009))",100k to 125k
47,4857555.316581691,-9236286.95322077,"POLYGON ((-9236276.95322077 4857565.316581692, -9236296.95322077 4857565.316581692, -9236296.95322077 4857545.316581692, -9236276.95322077 4857545.316581692, -9236276.95322077 4857565.316581692))",20k to 25k
48,4857165.181097195,-9236036.330705125,"POLYGON ((-9236026.330705125 4857175.181097195, -9236046.330705125 4857175.181097195, -9236046.330705125 4857155.181097195, -9236026.330705125 4857155.181097195, -9236026.330705125 4857175.181097195))",20k to 25k
49,4857117.327756432,-9235832.248585053,"POLYGON ((-9235822.248585053 4857127.327756432, -9235842.248585053 4857127.327756432, -9235842.248585053 4857107.327756432, -9235822.248585053 4857107.327756432, -9235822.248585053 4857127.327756432))",25k to 30k
50,4856627.234622054,-9236258.21654674,"POLYGON ((-9236248.21654674 4856637.234622054, -9236268.21654674 4856637.234622054, -9236268.21654674 4856617.234622054, -9236248.21654674 4856617.234622054, -9236248.21654674 4856637.234622054))",45k to 50k
51,4856560.682201564,-9236394.75802875,"POLYGON ((-9236384.758028748 4856570.682201564, -9236404.758028748 4856570.682201564, -9236404.758028748 4856550.682201564, -9236384.758028748 4856550.682201564, -9236384.758028748 4856570.682201564))",75k to 100k
52,4856757.373888349,-9236137.342808513,"POLYGON ((-9236127.342808513 4856767.373888349, -9236147.342808513 4856767.373888349, -9236147.342808513 4856747.373888349, -9236127.342808513 4856747.373888349, -9236127.342808513 4856767.373888349))",25k to 30k
53,4857676.838420879,-9236279.025610708,"POLYGON ((-9236269.025610708 4857686.838420879, -9236289.025610708 4857686.838420879, -9236289.025610708 4857666.838420879, -9236269.025610708 4857666.838420879, -9236269.025610708 4857686.838420879))",40k to 45k
54,4857561.12298353,-9236433.721009132,"POLYGON ((-9236423.721009133 4857571.12298353, -9236443.721009133 4857571.12298353, -9236443.721009133 4857551.12298353, -9236423.721009133 4857551.12298353, -9236423.721009133 4857571.12298353))",40k to 45k
55,4857717.696389105,-9235936.31793511,"POLYGON ((-9235926.31793511 4857727.696389105, -9235946.31793511 4857727.696389105, -9235946.31793511 4857707.696389105, -9235926.31793511 4857707.696389105, -9235926.31793511 4857727.696389105))",10k to 15k
56,4856841.462408641,-9236428.475144597,"POLYGON ((-9236418.475144597 4856851.462408641, -9236438.475144597 4856851.462408641, -9236438.475144597 4856831.462408641, -9236418.475144597 4856831.462408641, -9236418.475144597 4856851.462408641))",25k to 30k
57,4856938.445861862,-9236476.297790999,"POLYGON ((-9236466.297790999 4856948.445861862, -9236486.297790999 4856948.445861862, -9236486.297790999 4856928.445861862, -9236466.297790999 4856928.445861862, -9236466.297790999 4856948.445861862))",10k to 15k
58,4856451.68853684,-9235609.213441039,"POLYGON ((-9235599.213441039 4856461.68853684, -9235619.213441039 4856461.68853684, -9235619.213441039 4856441.68853684, -9235599.213441039 4856441.68853684, -9235599.213441039 4856461.68853684))",under 10k
59,4857377.824872549,-9236004.930546474,"POLYGON ((-9235994.930546474 4857387.824872549, -9236014.930546474 4857387.824872549, -9236014.930546474 4857367.824872549, -9235994.930546474 4857367.824872549, -9235994.930546474 4857387.824872549))",45k to 50k
60,4857391.218306022,-9235889.145965924,"POLYGON ((-9235879.145965924 4857401.218306022, -9235899.145965924 4857401.218306022, -9235899.145965924 4857381.218306022, -9235879.145965924 4857381.218306022, -9235879.145965924 4857401.218306022))",50k to 60k
61,4856763.928348148,-9236433.932179695,"POLYGON ((-9236423.932179695 4856773.928348147, -9236443.932179695 4856773.928348147, -9236443.932179695 4856753.928348147, -9236423.932179695 4856753.928348147, -9236423.932179695 4856773.928348147))",10k to 15k
62,4856958.14095618,-9236147.301661976,"POLYGON ((-9236137.301661976 4856968.14095618, -9236157.301661976 4856968.14095618, -9236157.301661976 4856948.14095618, -9236137.301661976 4856948.14095618, -9236137.301661976 4856968.14095618))",20k to 25k
63,4856563.0926981475,-9236419.308560671,"POLYGON ((-9236409.30856067 4856573.092698148, -9236429.30856067 4856573.092698148, -9236429.30856067 4856553.092698148, -9236409.30856067 4856553.092698148, -9236409.30856067 4856573.092698148))",35k to 40k
64,4856839.364026732,-9235621.216772715,"POLYGON ((-9235611.216772715 4856849.364026732, -9235631.216772715 4856849.364026732, -9235631.216772715 4856829.364026732, -9235611.216772715 4856829.364026732, -9235611.216772715 4856849.364026732))",75k to 100k
65,4857103.513029609,-9236087.628295012,"POLYGON ((-9236077.628295012 4857113.513029609, -9236097.628295012 4857113.513029609, -9236097.628295012 4857093.513029609, -9236077.628295012 4857093.513029609, -9236077.628295012 4857113.513029609))",under 10k
66,4856919.067410746,-9235573.205867542,"POLYGON ((-9235563.205867542 4856929.067410746, -9235583.205867542 4856929.067410746, -9235583.205867542 4856909.067410746, -9235563.205867542 4856909.067410746, -9235563.205867542 4856929.067410746))",50k to 60k
67,4857151.806957563,-9235894.31464913,"POLYGON ((-9235884.314649131 4857161.806957563, -9235904.314649131 4857161.806957563, -9235904.314649131 4857141.806957563, -9235884.314649131 4857141.806957563, -9235884.314649131 4857161.806957563))",45k to 50k
68,4856838.371129001,-9235813.32375549,"POLYGON ((-9235803.32375549 4856848.371129001, -9235823.32375549 4856848.371129001, -9235823.32375549 4856828.371129001, -9235803.32375549 4856828.371129001, -9235803.32375549 4856848.371129001))",45k to 50k
69,4857440.892599424,-9235970.032562617,"POLYGON ((-9235960.032562617 4857450.892599424, -9235980.032562617 4857450.892599424, -9235980.032562617 4857430.892599424, -9235960.032562617 4857430.892599424, -9235960.032562617 4857450.892599424))",15k to 20k
70,4856577.111858671,-9235927.416668976,"POLYGON ((-9235917.416668976 4856587.111858671, -9235937.416668976 4856587.111858671, -9235937.416668976 4856567.111858671, -9235917.416668976 4856567.111858671, -9235917.416668976 4856587.111858671))",under 10k
71,4856807.8596851425,-9236008.848398978,"POLYGON ((-9235998.848398978 4856817.8596851425, -9236018.848398978 4856817.8596851425, -9236018.848398978 4856797.8596851425, -9235998.848398978 4856797.8596851425, -9235998.848398978 4856817.8596851425))",75k to 100k
72,4857700.320772029,-9236130.850829186,"POLYGON ((-9236120.850829186 4857710.320772029, -9236140.850829186 4857710.320772029, -9236140.850829186 4857690.320772029, -9236120.850829186 4857690.320772029, -9236120.850829186 4857710.320772029))",75k to 100k
73,4857481.143758155,-9236051.238130921,"POLYGON ((-9236041.238130921 4857491.143758155, -9236061.238130921 4857491.143758155, -9236061.238130921 4857471.143758155, -9236041.238130921 4857471.143758155, -9236041.238130921 4857491.143758155))",60k to 75k
74,4857415.646383795,-9236186.350945119,"POLYGON ((-9236176.350945119 4857425.646383795, -9236196.350945119 4857425.646383795, -9236196.350945119 4857405.646383795, -9236176.350945119 4857405.646383795, -9236176.350945119 4857425.646383795))",50k to 60k
75,4857642.067090938,-9236046.739873696,"POLYGON ((-9236036.739873694 4857652.067090937, -9236056.739873694 4857652.067090937, -9236056.739873694 4857632.067090937, -9236036.739873694 4857632.067090937, -9236036.739873694 4857652.067090937))",25k to 30k
76,4857074.15093198,-9236295.57190634,"POLYGON ((-9236285.57190634 4857084.15093198, -9236305.57190634 4857084.15093198, -9236305.57190634 4857064.15093198, -9236285.57190634 4857064.15093198, -9236285.57190634 4857084.15093198))",under 10k
77,4857017.099276537,-9235741.765327819,"POLYGON ((-9235731.765327819 4857027.099276537, -9235751.765327819 4857027.099276537, -9235751.765327819 4857007.099276537, -9235731.765327819 4857007.099276537, -9235731.765327819 4857027.099276537))",50k to 60k
78,4856908.699315083,-9235797.693124298,"POLYGON ((-9235787.693124298 4856918.699315083, -9235807.693124298 4856918.699315083, -9235807.693124298 4856898.699315083, -9235787.693124298 4856898.699315083, -9235787.693124298 4856918.699315083))",25k to 30k
79,4857163.510046223,-9236121.010688676,"POLYGON ((-9236111.010688676 4857173.510046223, -9236131.010688676 4857173.510046223, -9236131.010688676 4857153.510046223, -9236111.010688676 4857153.510046223, -9236111.010688676 4857173.510046223))",under 10k
80,4856523.554542303,-9236380.400440304,"POLYGON ((-9236370.400440304 4856533.554542303, -9236390.400440304 4856533.554542303, -9236390.400440304 4856513.554542303, -9236370.400440304 4856513.554542303, -9236370.400440304 4856533.554542303))",50k to 60k
81,4857401.658385499,-9235696.784285355,"POLYGON ((-9235686.784285353 4857411.658385499, -9235706.784285353 4857411.658385499, -9235706.784285353 4857391.658385499, -9235686.784285353 4857391.658385499, -9235686.784285353 4857411.658385499))",35k to 40k
82,4857130.739978781,-9235692.586908776,"POLYGON ((-9235682.586908776 4857140.73997878, -9235702.586908776 4857140.73997878, -9235702.586908776 4857120.73997878, -9235682.586908776 4857120.73997878, -9235682.586908776 4857140.73997878))",20k to 25k
83,4856796.881198505,-9236562.745563865,"POLYGON ((-9236552.745563865 4856806.881198505, -9236572.745563865 4856806.881198505, -9236572.745563865 4856786.881198505, -9236552.745563865 4856786.881198505, -9236552.745563865 4856806.881198505))",100k to 125k
84,4856845.263010128,-9235845.815964747,"POLYGON ((-9235835.815964747 4856855.263010128, -9235855.815964747 4856855.263010128, -9235855.815964747 4856835.263010128, -9235835.815964747 4856835.263010128, -9235835.815964747 4856855.263010128))",25k to 30k
85,4856536.9055676935,-9236079.805875277,"POLYGON ((-9236069.805875277 4856546.9055676935, -9236089.805875277 4856546.9055676935, -9236089.805875277 4856526.9055676935, -9236069.805875277 4856526.9055676935, -9236069.805875277 4856546.9055676935))",75k to 100k
86,4857339.196336566,-9235824.837373246,"POLYGON ((-9235814.837373246 4857349.1963365665, -9235834.837373246 4857349.1963365665, -9235834.837373246 4857329.1963365665, -9235814.837373246 4857329.1963365665, -9235814.837373246 4857349.1963365665))",75k to 100k
87,4856680.246463366,-9236299.404211093,"POLYGON ((-9236289.404211093 4856690.246463366, -9236309.404211093 4856690.246463366, -9236309.404211093 4856670.246463366, -9236289.404211093 4856670.246463366, -9236289.404211093 4856690.246463366))",20k to 25k
88,4857173.6006692145,-9235954.30060079,"POLYGON ((-9235944.30060079 4857183.6006692145, -9235964.30060079 4857183.6006692145, -9235964.30060079 4857163.6006692145, -9235944.30060079 4857163.6006692145, -9235944.30060079 4857183.6006692145))",75k to 100k
89,4857343.037496738,-9236042.95334465,"POLYGON ((-9236032.95334465 4857353.037496738, -9236052.95334465 4857353.037496738, -9236052.95334465 4857333.037496738, -9236032.95334465 4857333.037496738, -9236032.95334465 4857353.037496738))",50k to 60k
90,4856739.218446305,-9235991.511842007,"POLYGON ((-9235981.511842007 4856749.218446305, -9236001.511842007 4856749.218446305, -9236001.511842007 4856729.218446305, -9235981.511842007 4856729.218446305, -9235981.511842007 4856749.218446305))",75k to 100k
91,4856909.798398822,-9236177.875186909,"POLYGON ((-9236167.875186909 4856919.798398823, -9236187.875186909 4856919.798398823, -9236187.875186909 4856899.798398823, -9236167.875186909 4856899.798398823, -9236167.875186909 4856919.798398823))",10k to 15k
92,4857636.89488374,-9236521.890616091,"POLYGON ((-9236511.890616091 4857646.89488374, -9236531.890616091 4857646.89488374, -9236531.890616091 4857626.89488374, -9236511.890616091 4857626.89488374, -9236511.890616091 4857646.89488374))",20k to 25k
93,4857157.658849297,-9235617.00883391,"POLYGON ((-9235607.00883391 4857167.658849298, -9235627.00883391 4857167.658849298, -9235627.00883391 4857147.658849298, -9235607.00883391 4857147.658849298, -9235607.00883391 4857167.658849298))",20k to 25k
94,4856730.277993077,-9236118.37096418,"POLYGON ((-9236108.37096418 4856740.277993077, -9236128.37096418 4856740.277993077, -9236128.37096418 4856720.277993077, -9236108.37096418 4856720.277993077, -9236108.37096418 4856740.277993077))",40k to 45k
95,4857405.217605644,-9236387.54450507,"POLYGON ((-9236377.544505069 4857415.217605644, -9236397.544505069 4857415.217605644, -9236397.544505069 4857395.217605644, -9236377.544505069 4857395.217605644, -9236377.544505069 4857415.217605644))",75k to 100k
96,4857674.924251196,-9235833.122062247,"POLYGON ((-9235823.122062247 4857684.924251196, -9235843.122062247 4857684.924251196, -9235843.122062247 4857664.924251196, -9235823.122062247 4857664.924251196, -9235823.122062247 4857684.924251196))",75k to 100k
97,4856874.131059149,-9235955.822736103,"POLYGON ((-9235945.822736103 4856884.131059149, -9235965.822736103 4856884.131059149, -9235965.822736103 4856864.131059149, -9235945.822736103 4856864.131059149, -9235945.822736103 4856884.131059149))",20k to 25k
98,4856823.387716576,-9236552.99444362,"POLYGON ((-9236542.99444362 4856833.387716576, -9236562.99444362 4856833.387716576, -9236562.99444362 4856813.387716576, -9236542.99444362 4856813.387716576, -9236542.99444362 4856833.387716576))",25k to 30k
99,4857624.811055263,-9235923.526152825,"POLYGON ((-9235913.526152823 4857634.811055263, -9235933.526152823 4857634.811055263, -9235933.526152823 4857614.811055263, -9235913.526152823 4857614.811055263, -9235913.526152823 4857634.811055263))",100k to 125k
100,4856497.134453595,-9235634.810064983,"POLYGON ((-9235624.810064984 4856507.134453595, -9235644.810064984 4856507.134453595, -9235644.810064984 4856487.134453595, -9235624.810064984 4856487.134453595, -9235624.810064984 4856507.134453595))",60k to 75k
101,4857323.21895341,-9235997.030310582,"POLYGON ((-9235987.03031058 4857333.21895341, -9236007.03031058 4857333.21895341, -9236007.03031058 4857313.21895341, -9235987.03031058 4857313.21895341, -9235987.03031058 4857333.21895341))",50k to 60k
102,4857093.544406527,-9235606.563296858,"POLYGON ((-9235596.563296858 4857103.544406527, -9235616.563296858 4857103.544406527, -9235616.563296858 4857083.544406527, -9235596.563296858 4857083.544406527, -9235596.563296858 4857103.544406527))",75k to 100k
103,4856693.208186648,-9236161.080799736,"POLYGON ((-9236151.080799736 4856703.208186648, -9236171.080799736 4856703.208186648, -9236171.080799736 4856683.208186648, -9236151.080799736 4856683.208186648, -9236151.080799736 4856703.208186648))",under 10k
104,4857500.210750492,-9235788.295684446,"POLYGON ((-9235778.295684446 4857510.210750492, -9235798.295684446 4857510.210750492, -9235798.295684446 4857490.210750492, -9235778.295684446 4857490.210750492, -9235778.295684446 4857510.210750492))",40k to 45k
105,4856710.7338543795,-9236338.23721191,"POLYGON ((-9236328.23721191 4856720.7338543795, -9236348.23721191 4856720.7338543795, -9236348.23721191 4856700.7338543795, -9236328.23721191 4856700.7338543795, -9236328.23721191 4856720.7338543795))",150k to 200k
106,4857706.798863156,-9235878.609508095,"POLYGON ((-9235868.609508095 4857716.798863156, -9235888.609508095 4857716.798863156, -9235888.609508095 4857696.798863156, -9235868.609508095 4857696.798863156, -9235868.609508095 4857716.798863156))",30k to 35k
107,4856629.675815482,-9235669.455540348,"POLYGON ((-9235659.45554035 4856639.675815482, -9235679.45554035 4856639.675815482, -9235679.45554035 4856619.675815482, -9235659.45554035 4856619.675815482, -9235659.45554035 4856639.675815482))",75k to 100k
108,4856584.652018076,-9236365.659700342,"POLYGON ((-9236355.659700342 4856594.652018076, -9236375.659700342 4856594.652018076, -9236375.659700342 4856574.652018076, -9236355.659700342 4856574.652018076, -9236355.659700342 4856594.652018076))",50k to 60k
109,4856559.894536471,-9235754.235728841,"POLYGON ((-9235744.235728843 4856569.89453647, -9235764.235728843 4856569.89453647, -9235764.235728843 4856549.89453647, -9235744.235728843 4856549.89453647, -9235744.235728843 4856569.89453647))",50k to 60k
110,4857042.924661907,-9236415.205110379,"POLYGON ((-9236405.205110379 4857052.924661907, -9236425.205110379 4857052.924661907, -9236425.205110379 4857032.924661907, -9236405.205110379 4857032.924661907, -9236405.205110379 4857052.924661907))",40k to 45k
111,4856932.987082692,-9235940.732141785,"POLYGON ((-9235930.732141785 4856942.987082692, -9235950.732141785 4856942.987082692, -9235950.732141785 4856922.987082692, -9235930.732141785 4856922.987082692, -9235930.732141785 4856942.987082692))",35k to 40k
112,4856973.3973723715,-9235915.221038667,"POLYGON ((-9235905.221038667 4856983.3973723715, -9235925.221038667 4856983.3973723715, -9235925.221038667 4856963.3973723715, -9235905.221038667 4856963.3973723715, -9235905.221038667 4856983.3973723715))",25k to 30k
113,4857628.413498432,-9236199.503943594,"POLYGON ((-9236189.503943594 4857638.413498431, -9236209.503943594 4857638.413498431, -9236209.503943594 4857618.413498431, -9236189.503943594 4857618.413498431, -9236189.503943594 4857638.413498431))",20k to 25k
114,4857513.688857138,-9235703.756247574,"POLYGON ((-9235693.756247574 4857523.688857138, -9235713.756247574 4857523.688857138, -9235713.756247574 4857503.688857138, -9235693.756247574 4857503.688857138, -9235693.756247574 4857523.688857138))",60k to 75k
115,4857381.892978923,-9236476.83446058,"POLYGON ((-9236466.83446058 4857391.892978923, -9236486.83446058 4857391.892978923, -9236486.83446058 4857371.892978923, -9236466.83446058 4857371.892978923, -9236466.83446058 4857391.892978923))",under 10k
